"url","lastAccess","title","fromSitemap"
"https://www.tartley.com/posts/project-hail-mary/","09.07.2023","Project Hail Mary | tartley.com","YES"
"https://www.tartley.com/index-1.html","09.07.2023","tartley.com (old posts, page 1) | tartley.com","YES"
"https://www.tartley.com/posts/a-pythonic-switch-statement/","09.07.2023","A Pythonic 'switch' statement | tartley.com","YES"
"https://www.tartley.com/posts/demon/","09.07.2023","Demon | tartley.com","YES"
"https://www.tartley.com/posts/comparing-methods-of-deploying-python-applications/","09.07.2023","Comparing methods of deploying Python applications | tartley.com","YES"
"https://www.tartley.com/posts/i-am-such-a-child/","09.07.2023","I am such a child | tartley.com","YES"
"https://www.tartley.com/posts/conky/","09.07.2023","Conky. | tartley.com","YES"
"https://www.tartley.com/categories/civilisation/","09.07.2023","Posts about civilisation | tartley.com","YES"
"https://www.tartley.com/posts/the-doors-of-perception/","09.07.2023","The Doors of Perception | tartley.com","YES"
"https://www.tartley.com/posts/use-of-asserts-in-unit-tested-code/","09.07.2023","Use of Asserts in Unit-Tested Code | tartley.com","YES"
"https://www.tartley.com/categories/python/","09.07.2023","Posts about python | tartley.com","YES"
"https://www.tartley.com/posts/automate-gnome-keybindings/","09.07.2023","Automate Gnome keybindings | tartley.com","YES"
"https://www.tartley.com/categories/ishiguro/","09.07.2023","Posts about ishiguro | tartley.com","YES"
"https://www.tartley.com/posts/kill-bill-vol-2/","09.07.2023","Kill Bill (Vol 2) | tartley.com","YES"
"https://www.tartley.com/categories/linking/","09.07.2023","Posts about linking | tartley.com","YES"
"https://www.tartley.com/categories/keyboard/","09.07.2023","Posts about keyboard | tartley.com","YES"
"https://www.tartley.com/posts/python-deployment-sucks/","09.07.2023","Python Deployment Sucks | tartley.com","YES"
"https://www.tartley.com/posts/energy-use-per-transaction-for-cryptocurrencies-vs-visa/","09.07.2023","TIL: Energy use per transaction for cryptocurrencies vs Visa | tartley.com","YES"
"https://www.tartley.com/posts/where-you-gonna-be/","09.07.2023","Where you gonna be? | tartley.com","YES"
"https://www.tartley.com/categories/history/","09.07.2023","Posts about history | tartley.com","YES"
"https://www.tartley.com/categories/personal/","09.07.2023","Posts about personal | tartley.com","YES"
"https://www.tartley.com/categories/dramatization/","09.07.2023","Posts about dramatization | tartley.com","YES"
"https://www.tartley.com/posts/object-oriented-software-engineering-a-use-case-driven-approach/","09.07.2023","Object-Oriented Software Engineering : A Use Case Driven Approach | tartley.com","YES"
"https://www.tartley.com/categories/vandalism/","09.07.2023","Posts about vandalism | tartley.com","YES"
"https://www.tartley.com/posts/git-annotated-tags/","09.07.2023","TIL: Git Annotated Tags | tartley.com","YES"
"https://www.tartley.com/categories/vonnegut/","09.07.2023","Posts about vonnegut | tartley.com","YES"
"https://www.tartley.com/posts/acceptance-testing-a-pyglet-application/","09.07.2023","Acceptance testing a pyglet application | tartley.com","YES"
"https://www.tartley.com/posts/godaddy-sucks/","09.07.2023","GoDaddy sucks | tartley.com","YES"
"https://www.tartley.com/posts/directx-in-ironpython/","09.07.2023","DirectX in IronPython | tartley.com","YES"
"https://www.tartley.com/categories/drugs/","09.07.2023","Posts about drugs | tartley.com","YES"
"https://www.tartley.com/categories/philosophy/","09.07.2023","Posts about philosophy | tartley.com","YES"
"https://www.tartley.com/posts/snow-report-ride-colorado/","09.07.2023","Snow Report: Ride Colorado | tartley.com","YES"
"https://www.tartley.com/categories/wallace/","09.07.2023","Posts about wallace | tartley.com","YES"
"https://www.tartley.com/posts/compiling-macvim-with-python-2-7/","09.07.2023","Compiling MacVim with Python 2.7 | tartley.com","YES"
"https://www.tartley.com/categories/refried/","09.07.2023","Posts about refried | tartley.com","YES"
"https://www.tartley.com/categories/journal/","09.07.2023","Posts about journal | tartley.com","YES"
"https://www.tartley.com/posts/the-simpsons-movie-goodbye-forever/","09.07.2023","The Simpsons Movie / Goodbye Forever | tartley.com","YES"
"https://www.tartley.com/posts/london-python-meeting/","09.07.2023","London Python meetup | tartley.com","YES"
"https://www.tartley.com/posts/latitude/","09.07.2023","Latitude | tartley.com","YES"
"https://www.tartley.com/posts/copyright-and-the-crowdsourcing-of-promotional-materials/","09.07.2023","Copyright and the crowdsourcing of promotional materials | tartley.com","YES"
"https://www.tartley.com/categories/niven/","09.07.2023","Posts about niven | tartley.com","YES"
"https://www.tartley.com/posts/everything-and-more/","09.07.2023","Everything and More: A compact history of ∞ | tartley.com","YES"
"https://www.tartley.com/posts/just-married/","09.07.2023","Just Married! | tartley.com","YES"
"https://www.tartley.com/posts/lappy-sketch-lives/","09.07.2023","Lappy sketch lives! | tartley.com","YES"
